Date,Cases
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,2
2020-03-06,7
2020-03-07,7
2020-03-08,16
2020-03-09,16
2020-03-10,31
2020-03-11,57
2020-03-12,89
2020-03-13,141
2020-03-14,181
2020-03-15,219
2020-03-16,253
2020-03-17,275
2020-03-18,275
2020-03-19,286
2020-03-20,341
2020-03-21,383
2020-03-22,414
2020-03-23,442
2020-03-24,480
2020-03-25,528
2020-03-26,562
2020-03-27,632
2020-03-28,684
2020-03-29,730
2020-03-30,756
2020-03-31,802
2020-04-01,841
2020-04-02,897
2020-04-03,934
2020-04-04,977
2020-04-05,997
2020-04-06,1021
2020-04-07,1059
2020-04-08,1091
2020-04-09,1124
2020-04-10,1160
2020-04-11,1188
2020-04-12,1205
2020-04-13,1212
2020-04-14,1220
2020-04-15,1248
2020-04-16,1268
2020-04-17,1304
2020-04-18,1317
2020-04-19,1330
2020-04-20,1335
2020-04-21,1344
2020-04-22,1353
2020-04-23,1366
2020-04-24,1373
2020-04-25,1388
2020-04-26,1396
2020-04-27,1402
2020-04-28,1408
2020-04-29,1418
2020-04-30,1429
2020-05-01,1434
2020-05-02,1439
2020-05-03,1439
2020-05-04,1439
2020-05-05,1445
2020-05-06,1448
2020-05-07,1449
2020-05-08,1450
2020-05-09,1454
2020-05-10,1457
2020-05-11,1460
2020-05-12,1461
2020-05-13,1463
2020-05-14,1464
2020-05-15,1465
2020-05-16,1465
2020-05-17,1466
2020-05-18,1466
2020-05-19,1467
2020-05-20,1468
2020-05-21,1468
2020-05-22,1468
2020-05-23,1468
2020-05-24,1468
2020-05-25,1469
2020-05-26,1469
2020-05-27,1471
2020-05-28,1473
2020-05-29,1473
2020-05-30,1473
2020-05-31,1473
2020-06-01,1473
2020-06-02,1475
2020-06-03,1477
2020-06-04,1477
2020-06-05,1479
2020-06-06,1484
2020-06-07,1485
2020-06-08,1485
2020-06-09,1486
2020-06-10,1488
2020-06-11,1488
2020-06-12,1490
2020-06-13,1492
2020-06-14,1495
2020-06-15,1496
2020-06-16,1499
2020-06-17,1503
2020-06-18,1511
2020-06-19,1513
2020-06-20,1519
2020-06-21,1520
2020-06-22,1521
2020-06-23,1534
2020-06-24,1541
2020-06-25,1547
2020-06-26,1558
2020-06-27,1572
2020-06-28,1581
2020-06-29,1585
2020-06-30,1600
2020-07-01,1613
2020-07-02,1634
2020-07-03,1650
2020-07-04,1679
2020-07-05,1700
2020-07-06,1716
2020-07-07,1739
2020-07-08,1763
2020-07-09,1776
2020-07-10,1793
2020-07-11,1827
2020-07-12,1841
2020-07-13,1849
2020-07-14,1859
2020-07-15,1878
2020-07-16,1897
2020-07-17,1916
2020-07-18,1940
2020-07-19,1946
2020-07-20,1953
2020-07-21,1977
2020-07-22,2006
2020-07-23,2033
2020-07-24,2052
2020-07-25,2066
2020-07-26,2082
2020-07-27,2087
2020-07-28,2101
2020-07-29,2115
2020-07-30,2139
2020-07-31,2156
2020-08-01,2171
2020-08-02,2180
2020-08-03,2181
2020-08-04,2190
2020-08-05,2208
2020-08-06,2223
