Date,Cases
2020-03-01,0
2020-03-01,3
2020-03-01,27
2020-03-01,6
2020-03-01,7
2020-03-01,0
2020-03-01,2
2020-03-01,9
2020-03-01,0
2020-03-02,0
2020-03-02,2
2020-03-02,1
2020-03-02,6
2020-03-02,30
2020-03-02,9
2020-03-02,9
2020-03-02,0
2020-03-02,3
2020-03-03,1
2020-03-03,0
2020-03-03,39
2020-03-03,11
2020-03-03,2
2020-03-03,0
2020-03-03,9
2020-03-03,3
2020-03-03,13
2020-03-04,1
2020-03-04,52
2020-03-04,2
2020-03-04,10
2020-03-04,0
2020-03-04,11
2020-03-04,22
2020-03-04,5
2020-03-04,1
2020-03-05,10
2020-03-05,1
2020-03-05,3
2020-03-05,55
2020-03-05,13
2020-03-05,1
2020-03-05,5
2020-03-05,0
2020-03-05,22
2020-03-06,7
2020-03-06,26
2020-03-06,13
2020-03-06,1
2020-03-06,10
2020-03-06,60
2020-03-06,0
2020-03-06,3
2020-03-06,0
2020-03-07,63
2020-03-07,3
2020-03-07,7
2020-03-07,0
2020-03-07,13
2020-03-07,11
2020-03-07,1
2020-03-07,28
2020-03-07,0
2020-03-08,2
2020-03-08,7
2020-03-08,0
2020-03-08,3
2020-03-08,0
2020-03-08,38
2020-03-08,11
2020-03-08,76
2020-03-08,15
2020-03-09,0
2020-03-09,91
2020-03-09,15
2020-03-09,4
2020-03-09,48
2020-03-09,2
2020-03-09,15
2020-03-09,0
2020-03-09,7
2020-03-10,2
2020-03-10,7
2020-03-10,0
2020-03-10,6
2020-03-10,18
2020-03-10,18
2020-03-10,107
2020-03-10,55
2020-03-10,1
2020-03-11,21
2020-03-11,9
2020-03-11,0
2020-03-11,128
2020-03-11,9
2020-03-11,1
2020-03-11,65
2020-03-11,3
2020-03-11,20
2020-03-12,128
2020-03-12,1
2020-03-12,0
2020-03-12,65
2020-03-12,3
2020-03-12,20
2020-03-12,9
2020-03-12,9
2020-03-12,21
2020-03-13,14
2020-03-13,16
2020-03-13,36
2020-03-13,5
2020-03-13,1
2020-03-13,35
2020-03-13,200
2020-03-13,92
2020-03-13,1
2020-03-14,19
2020-03-14,112
2020-03-14,49
2020-03-14,46
2020-03-14,17
2020-03-14,5
2020-03-14,1
2020-03-14,250
2020-03-14,1
2020-03-15,61
2020-03-15,17
2020-03-15,1
2020-03-15,1
2020-03-15,57
2020-03-15,6
2020-03-15,134
2020-03-15,297
2020-03-15,20
2020-03-16,7
2020-03-16,71
2020-03-16,377
2020-03-16,2
2020-03-16,171
2020-03-16,28
2020-03-16,68
2020-03-16,29
2020-03-16,1
2020-03-17,31
2020-03-17,210
2020-03-17,2
2020-03-17,1
2020-03-17,29
2020-03-17,452
2020-03-17,94
2020-03-17,78
2020-03-17,7
2020-03-18,94
2020-03-18,10
2020-03-18,568
2020-03-18,121
2020-03-18,37
2020-03-18,267
2020-03-18,35
2020-03-18,3
2020-03-18,1
2020-03-19,42
2020-03-19,10
2020-03-19,681
2020-03-19,1
2020-03-19,307
2020-03-19,52
2020-03-19,121
2020-03-19,144
2020-03-19,4
2020-03-20,3
2020-03-20,121
2020-03-20,64
2020-03-20,50
2020-03-20,184
2020-03-20,353
2020-03-20,10
2020-03-20,791
2020-03-20,6
2020-03-21,67
2020-03-21,16
2020-03-21,1071
2020-03-21,3
2020-03-21,229
2020-03-21,221
2020-03-21,90
2020-03-21,436
2020-03-21,9
2020-03-22,22
2020-03-22,5
2020-03-22,1549
2020-03-22,120
2020-03-22,259
2020-03-22,19
2020-03-22,669
2020-03-22,355
2020-03-22,100
2020-03-23,32
2020-03-23,140
2020-03-23,134
2020-03-23,319
2020-03-23,1682
2020-03-23,669
2020-03-23,28
2020-03-23,5
2020-03-23,355
2020-03-24,170
2020-03-24,397
2020-03-24,411
2020-03-24,6
2020-03-24,175
2020-03-24,39
2020-03-24,818
2020-03-24,2044
2020-03-24,28
2020-03-25,6
2020-03-25,1029
2020-03-25,2364
2020-03-25,175
2020-03-25,170
2020-03-25,466
2020-03-25,36
2020-03-25,39
2020-03-25,443
2020-03-26,231
2020-03-26,2810
2020-03-26,53
2020-03-26,12
2020-03-26,493
2020-03-26,235
2020-03-26,520
2020-03-26,1219
2020-03-26,47
2020-03-27,3143
2020-03-27,47
2020-03-27,12
2020-03-27,62
2020-03-27,231
2020-03-27,574
2020-03-27,257
2020-03-27,555
2020-03-27,1405
2020-03-28,287
2020-03-28,1617
2020-03-28,15
2020-03-28,62
2020-03-28,71
2020-03-28,625
2020-03-28,3640
2020-03-28,685
2020-03-28,278
2020-03-29,656
2020-03-29,311
2020-03-29,77
2020-03-29,1791
2020-03-29,3984
2020-03-29,15
2020-03-29,769
2020-03-29,66
2020-03-29,299
2020-03-30,15
2020-03-30,66
2020-03-30,305
2020-03-30,355
2020-03-30,2032
2020-03-30,821
2020-03-30,689
2020-03-30,78
2020-03-30,4361
2020-03-31,17
2020-03-31,4559
2020-03-31,364
2020-03-31,2032
2020-03-31,917
2020-03-31,80
2020-03-31,69
2020-03-31,337
2020-03-31,743
2020-04-01,69
2020-04-01,367
2020-04-01,19
2020-04-01,392
2020-04-01,2182
2020-04-01,84
2020-04-01,968
2020-04-01,781
2020-04-01,4862
2020-04-02,835
2020-04-02,1036
2020-04-02,400
2020-04-02,367
2020-04-02,21
2020-04-02,5116
2020-04-02,72
2020-04-02,87
2020-04-02,2298
2020-04-03,22
2020-04-03,74
2020-04-03,873
2020-04-03,1085
2020-04-03,91
2020-04-03,5330
2020-04-03,2389
2020-04-03,396
2020-04-03,400
2020-04-04,407
2020-04-04,900
2020-04-04,26
2020-04-04,5550
2020-04-04,2493
2020-04-04,93
2020-04-04,436
2020-04-04,1115
2020-04-04,80
2020-04-05,5687
2020-04-05,27
2020-04-05,453
2020-04-05,1135
2020-04-05,82
2020-04-05,907
2020-04-05,407
2020-04-05,96
2020-04-05,2580
2020-04-06,460
2020-04-06,921
2020-04-06,5797
2020-04-06,2637
2020-04-06,28
2020-04-06,411
2020-04-06,86
2020-04-06,1158
2020-04-06,96
2020-04-07,96
2020-04-07,460
2020-04-07,2686
2020-04-07,28
2020-04-07,89
2020-04-07,411
2020-04-07,1191
2020-04-07,5895
2020-04-07,934
2020-04-08,6010
2020-04-08,99
2020-04-08,2734
2020-04-08,943
2020-04-08,415
2020-04-08,1212
2020-04-08,28
2020-04-08,98
2020-04-08,481
2020-04-09,953
2020-04-09,1228
2020-04-09,420
2020-04-09,2773
2020-04-09,495
2020-04-09,6108
2020-04-09,111
2020-04-09,28
2020-04-09,100
2020-04-10,103
2020-04-10,2822
2020-04-10,28
2020-04-10,965
2020-04-10,506
2020-04-10,428
2020-04-10,6215
2020-04-10,1241
2020-04-10,122
2020-04-11,974
2020-04-11,2857
2020-04-11,1265
2020-04-11,429
2020-04-11,6303
2020-04-11,514
2020-04-11,133
2020-04-11,103
2020-04-11,28
2020-04-12,28
2020-04-12,103
2020-04-12,6315
2020-04-12,514
2020-04-12,429
2020-04-12,2857
2020-04-12,1268
2020-04-12,133
2020-04-12,983
2020-04-13,429
2020-04-13,144
2020-04-13,2863
2020-04-13,517
2020-04-13,102
2020-04-13,987
2020-04-13,1281
2020-04-13,28
2020-04-13,6351
2020-04-14,2870
2020-04-14,6415
2020-04-14,165
2020-04-14,1291
2020-04-14,433
2020-04-14,527
2020-04-14,998
2020-04-14,103
2020-04-14,28
2020-04-15,433
2020-04-15,2886
2020-04-15,6440
2020-04-15,999
2020-04-15,527
2020-04-15,103
2020-04-15,28
2020-04-15,1299
2020-04-15,165
2020-04-16,103
2020-04-16,1299
2020-04-16,532
2020-04-16,433
2020-04-16,6462
2020-04-16,2897
2020-04-16,169
2020-04-16,1001
2020-04-16,28
2020-04-17,103
2020-04-17,1007
2020-04-17,1302
2020-04-17,435
2020-04-17,28
2020-04-17,541
2020-04-17,6522
2020-04-17,180
2020-04-17,2926
2020-04-18,188
2020-04-18,2936
2020-04-18,544
2020-04-18,6568
2020-04-18,435
2020-04-18,103
2020-04-18,1015
2020-04-18,28
2020-04-18,1319
2020-04-19,2957
2020-04-19,435
2020-04-19,195
2020-04-19,103
2020-04-19,1019
2020-04-19,545
2020-04-19,1328
2020-04-19,28
2020-04-19,6610
2020-04-20,1019
2020-04-20,435
2020-04-20,200
2020-04-20,1329
